	preprintPMID	preprint_citation	publicationType	updatedInfo	updatedPMID
134	34312616	Res Sq. 2021 Jul 20. doi: 10.21203/rs.3.rs-700296/v1.	['Preprint']	['J Neurodev Disord. 2021 Sep 1;13(1):31. PMID: 34465306']	34465306
156	34268527	medRxiv. 2021 Jul 7. doi: 10.1101/2021.07.05.21259918.	['Preprint']	['N Engl J Med. 2021 Sep 2;385(10):951-953. PMID: 34260834']	34260834
168	34268515	medRxiv. 2021 Jul 8. doi: 10.1101/2021.07.08.21259776.	['Preprint']	['Clin Infect Dis. 2021 Aug 06;:. PMID: 34358310']	34358310
176	34268507	bioRxiv. 2021 Jul 7. doi: 10.1101/2021.07.07.451505.	['Preprint']	['Viruses. 2021 Aug 19;13(8):. PMID: 34452509']	34452509
178	34268505	bioRxiv. 2021 Jul 9. doi: 10.1101/2021.07.09.451812.	['Preprint']	['J Biol Chem. 2021 Aug 31;:101151. PMID: 34478710']	34478710
194	34230926	bioRxiv. 2021 Jun 29. doi: 10.1101/2021.06.28.450274.	['Preprint']	['J Virol. 2021 Aug 18;:JVI0135721. PMID: 34406867']	34406867
201	34189536	medRxiv. 2021 Jun 22. doi: 10.1101/2021.06.14.21258904.	['Preprint']	['Public Health. 2021 Aug 3;198:273-279. PMID: 34492508']	34492508
211	34189526	bioRxiv. 2021 Jun 23. doi: 10.1101/2021.06.23.449594.	['Preprint']	['Curr Res Virol Sci. 2021;2:100011. PMID: 34377997']	34377997
212	34189525	bioRxiv. 2021 Jun 21. doi: 10.1101/2021.06.20.449191.	['Preprint']	['Anal Bioanal Chem. 2021 Aug 13;:. PMID: 34389878']	34389878
215	34159344	medRxiv. 2021 Jun 17. doi: 10.1101/2021.06.14.21258567.	['Preprint']	['N Engl J Med. 2021 Aug 4;:. PMID: 34347950']	34347950
226	34159333	bioRxiv. 2021 Jun 15. doi: 10.1101/2021.06.14.448413.	['Preprint']	['Mol Biol Evol. 2021 Sep 10;:. PMID: 34505896']	34505896
237	34127982	medRxiv. 2021 Jun 7. doi: 10.1101/2021.06.04.21258355.	['Preprint']	['BMJ Open. 2021 Jul 22;11(7):e048086. PMID: 34301657']	34301657
238	34127981	medRxiv. 2021 Jun 7. doi: 10.1101/2021.06.03.21258312.	['Preprint']	['Gastroenterology. 2021 Jul 17;:. PMID: 34284037']	34284037
253	34127966	Res Sq. 2021 Jun 11. doi: 10.21203/rs.3.rs-600795/v1.	['Preprint']	['Cardiooncology. 2021 Aug 10;7(1):28. PMID: 34372948']	34372948
263	34100026	medRxiv. 2021 Jun 2. doi: 10.1101/2021.05.29.21258010.	['Preprint']	['J Clin Transl Sci. 2021 Jun 25;5(1):e146. PMID: 34457357']	34457357
272	34100017	bioRxiv. 2021 Jun 1. doi: 10.1101/2021.06.01.446591.	['Preprint']	['Front Immunol. 2021 Jul 26;12:719037. PMID: 34381460']	34381460
275	34100014	bioRxiv. 2021 Aug 12. doi: 10.1101/2021.06.01.446623.	['Preprint']	['J Virol. 2021 Aug 18;:JVI0097521. PMID: 34406858']	34406858
276	34100013	bioRxiv. 2021 Jun 2. doi: 10.1101/2021.05.07.443175.	['Preprint']	['Nature. 2021 Jun 14;:. PMID: 34126625']	34126625
285	34075385	medRxiv. 2021 Jul 27. doi: 10.1101/2021.05.25.21257501.	['Preprint']	['PLoS One. 2021 Jul 26;16(7):e0255096. PMID: 34310620']	34310620
287	34075383	bioRxiv. 2021 Jun 2. doi: 10.1101/2021.05.28.446009.	['Preprint']	['Front Immunol. 2021 Jul 29;12:719077. PMID: 34394127']	34394127
291	34075379	bioRxiv. 2021 May 26. doi: 10.1101/2021.05.26.445880.	['Preprint']	['One Health. 2021 Dec;13:100318. PMID: 34462726']	34462726
303	34031666	medRxiv. 2021 Jul 22. doi: 10.1101/2021.05.14.21257215.	['Preprint']	['BMC Med. 2021 Aug 12;19(1):198. PMID: 34384441']	34384441
304	34031665	medRxiv. 2021 May 17. doi: 10.1101/2021.05.13.21257070.	['Preprint']	['JCI Insight. 2021 Sep 10;:. PMID: 34506304']	34506304
310	34031659	bioRxiv. 2021 May 16. doi: 10.1101/2021.05.13.444010.	['Preprint']	['Science. 2021 Aug 12;:. PMID: 34385356']	34385356
312	34031657	bioRxiv. 2021 May 20. doi: 10.1101/2021.05.20.445008.	['Preprint']	['Cell Rep. 2021 Aug 31;36(9):109637. PMID: 34433082']	34433082
316	34031653	bioRxiv. 2021 Jul 21. doi: 10.1101/2021.05.18.444723.	['Preprint']	['J Phys Chem B. 2021 Aug 9;:. PMID: 34370466']	34370466
333	34013290	medRxiv. 2020 Nov 30. doi: 10.1101/2020.11.27.20239657.	['Preprint']	['Sci Rep. 2021 Jul 8;11(1):14107. PMID: 34238978']	34238978
337	34013286	medRxiv. 2020 Dec 24. doi: 10.1101/2020.11.27.20240036.	['Preprint']	['Can Commun Dis Rep. 2021 May 07;47(4):202-209. PMID: 34035666']	34035666
338	34013285	medRxiv. 2021 May 12. doi: 10.1101/2021.05.11.21256917.	['Preprint']	['Ann Rheum Dis. 2021 May 25;:. PMID: 34035003']	34035003
341	34013282	medRxiv. 2021 Feb 20. doi: 10.1101/2020.11.28.20240259.	['Preprint']	['Results Phys. 2021 May;24:104137. PMID: 33898209']	33898209
342	34013281	medRxiv. 2021 May 12. doi: 10.1101/2021.05.06.21256768.	['Preprint']	['J Am Soc Nephrol. 2021 Jun 11;:. PMID: 34117129']	34117129
347	34013276	bioRxiv. 2020 Aug 7. doi: 10.1101/2020.08.05.238188.	['Preprint']	['Nature. 2021 Feb;590(7847):635-641. PMID: 33429418']	33429418
351	34013272	bioRxiv. 2021 May 10. doi: 10.1101/2021.05.09.443299.	['Preprint']	['N Engl J Med. 2021 Jul 7;:. PMID: 34233096']	34233096
352	34013271	bioRxiv. 2020 Oct 28. doi: 10.1101/2020.07.25.217158.	['Preprint']	['Eur J Immunol. 2021 Feb 12;:. PMID: 33576494']	33576494
357	34013266	bioRxiv. 2020 Aug 7. doi: 10.1101/2020.07.28.225078.	['Preprint']	['Brief Bioinform. 2021 Mar 22;22(2):1038-1052. PMID: 33458747']	33458747
364	34013259	Res Sq. 2021 Apr 23. doi: 10.21203/rs.3.rs-448370/v1.	['Preprint']	['Nature. 2021 Jun 21;:. PMID: 34153975']	34153975
366	34013257	Res Sq. 2021 Apr 26. doi: 10.21203/rs.3.rs-452200/v1.	['Preprint']	['Implement Sci Commun. 2021 Jul 5;2(1):72. PMID: 34225817']	34225817
369	34013254	Res Sq. 2021 May 7. doi: 10.21203/rs.3.rs-359099/v1.	['Preprint']	['Trials. 2021 Aug 2;22(1):513. PMID: 34340693']	34340693
377	34013246	Res Sq. 2021 May 14. doi: 10.21203/rs.3.rs-427058/v1.	['Preprint']	['JMIR Cancer. 2021 Mar 9;7(1):e26509. PMID: 33687332']	33687332
381	34013166	ChemRxiv. 2021 Apr 19. pii: 14442785. doi: 10.26434/chemrxiv.14442785.	['Preprint']	['ACS Appl Mater Interfaces. 2021 Aug 11;:. PMID: 34379400']	34379400
388	33972953	medRxiv. 2021 May 3. doi: 10.1101/2021.05.01.21255871.	['Preprint']	['BMJ Open. 2021 Jul 7;11(7):e053036. PMID: 34234001']	34234001
389	33972952	medRxiv. 2021 May 4. doi: 10.1101/2021.05.01.21256452.	['Preprint']	['J Clin Microbiol. 2021 Sep 1;:JCM0118621. PMID: 34469185']	34469185
391	33972950	medRxiv. 2021 May 5. doi: 10.1101/2021.05.03.21256506.	['Preprint']	['Clin Infect Dis. 2021 Jul 24;:. PMID: 34302458']	34302458
401	33972940	bioRxiv. 2021 May 4. doi: 10.1101/2021.05.03.441323.	['Preprint']	['Med (N Y). 2021 Aug 14;:. PMID: 34414383']	34414383
404	33972937	bioRxiv. 2021 May 3. doi: 10.1101/2021.05.02.442326.	['Preprint']	['Cell Rep. 2021 Aug 24;36(8):109604. PMID: 34411541']	34411541
411	33948610	medRxiv. 2021 Jun 18. doi: 10.1101/2021.04.19.21255739.	['Preprint']	['Cell Rep Med. 2021 Jul 20;2(7):100354. PMID: 34250512']	34250512
414	33948607	medRxiv. 2021 Apr 29. doi: 10.1101/2021.04.26.21256016.	['Preprint']	['Clin Infect Dis. 2021 Jun 29;:. PMID: 34185847']	34185847
423	33948598	bioRxiv. 2021 Apr 28. doi: 10.1101/2021.01.24.428004.	['Preprint']	['mBio. 2021 Jun 22;:e0142321. PMID: 34154407']	34154407
424	33948597	bioRxiv. 2021 Apr 29. doi: 10.1101/2021.04.28.441880.	['Preprint']	['J Immunol. 2021 Aug 13;:. PMID: 34389625']	34389625
430	33948591	bioRxiv. 2021 Apr 27. doi: 10.1101/2021.04.26.441518.	['Preprint']	['J Immunol. 2021 Jun 30;:. PMID: 34193597']	34193597
433	33948588	bioRxiv. 2021 Apr 29. doi: 10.1101/2021.04.29.441821.	['Preprint']	['Genes Dev. 2021 Aug 1;35(15-16):1123-1141. PMID: 34301768']	34301768
437	33948448	ArXiv. 2020 Oct 22. pii: 2010.11514.	['Preprint']	['Sci Rep. 2021 Jun 4;11(1):11841. PMID: 34088907']	34088907
440	33907767	medRxiv. 2021 Apr 24. doi: 10.1101/2021.04.14.21255431.	['Preprint']	['Clin Infect Dis. 2021 Jun 17;:. PMID: 34137815']	34137815
442	33907765	medRxiv. 2021 Apr 19. doi: 10.1101/2021.04.12.21255324.	['Preprint']	['JCI Insight. 2021 Jul 8;:. PMID: 34237028']	34237028
445	33907762	medRxiv. 2021 Apr 20. doi: 10.1101/2021.04.14.21255476.	['Preprint']	['BMC Public Health. 2021 Jun 10;21(1):1105. PMID: 34107947']	34107947
447	33907760	medRxiv. 2021 Apr 20. doi: 10.1101/2021.04.17.21255663.	['Preprint']	['JCI Insight. 2021 Jul 6;:. PMID: 34228642']	34228642
454	33907753	bioRxiv. 2021 Apr 26. doi: 10.1101/2021.04.26.441501.	['Preprint']	['Immunity. 2021 Aug 19;:. PMID: 34481543']	34481543
456	33907751	bioRxiv. 2021 Apr 21. doi: 10.1101/2021.04.21.440801.	['Preprint']	['Open Forum Infect Dis. 2021 Jun 04;8(7):ofab300. PMID: 34254040']	34254040
462	33907745	bioRxiv. 2021 Apr 22. doi: 10.1101/2021.02.14.431043.	['Preprint']	['Nat Commun. 2021 Aug 9;12(1):4886. PMID: 34373458']	34373458
463	33907744	bioRxiv. 2021 Apr 19. doi: 10.1101/2021.04.19.440531.	['Preprint']	['Mol Ther. 2021 May 13;:. PMID: 33992805']	33992805
466	33880488	medRxiv. 2021 Apr 13. doi: 10.1101/2021.04.09.21255184.	['Preprint']	['Genome Biol. 2021 Aug 23;22(1):242. PMID: 34425859']	34425859
470	33880484	medRxiv. 2021 Apr 19. doi: 10.1101/2021.04.12.21255284.	['Preprint']	['J Clin Microbiol. 2021 Apr 26;:. PMID: 33903166']	33903166
472	33880482	medRxiv. 2021 Apr 13. doi: 10.1101/2021.04.08.21254779.	['Preprint']	['J Am Soc Nephrol. 2021 Aug 4;:. PMID: 34348908']	34348908
473	33880481	medRxiv. 2021 Apr 17. doi: 10.1101/2021.04.16.21255614.	['Preprint']	['Clin Infect Dis. 2021 Jul 14;:. PMID: 34260716']	34260716
477	33880477	bioRxiv. 2021 Apr 14. doi: 10.1101/2021.04.13.439709.	['Preprint']	['Science. 2021 Jun 24;:. PMID: 34168070']	34168070
480	33880474	bioRxiv. 2021 Apr 14. doi: 10.1101/2021.04.14.439844.	['Preprint']	['Sci Transl Med. 2021 Jun 30;13(600):. PMID: 34103407']	34103407
482	33880472	bioRxiv. 2021 May 25. doi: 10.1101/2021.04.14.439891.	['Preprint']	['ACS Cent Sci. 2021 Jul 28;7(7):1191-1204. PMID: 34341771']	34341771
484	33880470	bioRxiv. 2021 Apr 12. doi: 10.1101/2021.04.12.439473.	['Preprint']	['J Mol Biol. 2021 Jul 14;:167155. PMID: 34273397']	34273397
485	33880469	bioRxiv. 2021 Jun 7. doi: 10.1101/2021.04.11.439398.	['Preprint']	['Front Cell Neurosci. 2021 Jul 05;15:674123. PMID: 34290590']	34290590
487	33880467	bioRxiv. 2021 Apr 23. doi: 10.1101/2021.04.14.439863.	['Preprint']	['Viruses. 2021 Aug 05;13(8):. PMID: 34452415']	34452415
494	33851191	medRxiv. 2021 Apr 7. doi: 10.1101/2021.04.01.21254804.	['Preprint']	['Clin Exp Pharmacol. 2021;11(5):. PMID: 34367726']	34367726
496	33851189	medRxiv. 2021 Jun 24. doi: 10.1101/2021.03.31.21254692.	['Preprint']	['JCI Insight. 2021 Jun 24;:. PMID: 34166229']	34166229
499	33851186	medRxiv. 2021 Apr 16. doi: 10.1101/2021.04.07.21255089.	['Preprint']	['Elife. 2021 Jun 04;10:. PMID: 34085928']	34085928
500	33851185	medRxiv. 2021 Apr 9. doi: 10.1101/2021.04.04.21254881.	['Preprint']	['Nat Commun. 2021 Aug 26;12(1):5135. PMID: 34446720']	34446720
506	33851179	medRxiv. 2021 Apr 5. doi: 10.1101/2021.04.02.21254514.	['Preprint']	['mBio. 2021 Aug 17;:e0177721. PMID: 34399607']	34399607
516	33851169	bioRxiv. 2021 Apr 8. doi: 10.1101/2021.04.07.438818.	['Preprint']	['Nature. 2021 Jul 19;:. PMID: 34280951']	34280951
