	litcovid	preprint	j_sim_text	j_sim_author	sum_score	date
38	pmid32391661	2020.02.16.20023655	0.20610687	0.514285714	0.720392585	2020-07-29
39	pmid32544372	2020.05.13.093088	0.206451613	0.475609756	0.682061369	2020-07-29
57	pmid32641783	2020.05.01.20087205	0.256038647	0.460176991	0.716215638	2020-07-29
115	pmid32129583	2020.03.04.20031047	0.222222222	0.450980392	0.673202614	2020-07-29
176	pmid32413609	2020.02.21.20026559	0.227848101	0.460674157	0.688522259	2020-07-29
322	pmid32620181	2020.05.02.20088781	0.202020202	0.545454545	0.747474747	2020-07-29
339	pmid32631365	2020.03.02.20029306	0.203703704	0.47826087	0.681964573	2020-07-29
346	pmid32609352	2020.06.08.20115683	0.207317073	0.46835443	0.675671504	2020-07-29
434	pmid32518471	2020.04.10.20060319	0.211678832	0.466666667	0.678345499	2020-07-29
465	pmid32568770	2020.05.02.20080036	0.20855615	0.529411765	0.737967914	2020-07-29
510	pmid32231374	2020.03.17.20037689	0.213058419	0.5	0.713058419	2020-07-29
554	pmid32566564	2020.04.13.20064436	0.237209302	0.504273504	0.741482807	2020-07-29
555	pmid32566564	2020.04.17.20064444	0.223404255	0.482758621	0.706162876	2020-07-29
558	pmid32566566	2020.04.14.20064741	0.209090909	0.468468468	0.677559378	2020-07-29
