	litcovid	preprint	j_sim_text	j_sim_author	sum_score	date
0	pmid32505172	2020.04.08.20057661	0.778625954	0.53125	1.309875954	2020-07-29
1	pmid32508193	2020.04.09.20056242	0.303482587	0.456521739	0.760004326	2020-07-29
2	pmid32508193	2020.04.09.20056291	0.68902439	0.622222222	1.311246612	2020-07-29
3	pmid32511851	2020.05.25.20110239	0.212290503	0.754716981	0.967007484	2020-07-29
4	pmid32007643	2020.01.23.916395	0.897959184	0.569767442	1.467726626	2020-07-29
5	pmid32024089	2020.01.23.916395	0.276315789	0.694444444	0.970760234	2020-07-29
6	pmid32132184	2020.02.17.951848	0.385321101	0.476190476	0.861511577	2020-07-29
7	pmid32132184	2020.02.19.956946	0.441176471	0.452380952	0.893557423	2020-07-29
8	pmid32133152	2020.02.18.20024281	0.936507937	0.841463415	1.777971351	2020-07-29
9	pmid32369029	2020.03.19.20038794	0.208053691	0.764705882	0.972759574	2020-07-29
10	pmid32369029	2020.04.02.20050930	0.625954198	0.764705882	1.390660081	2020-07-29
11	pmid32279219	2020.02.18.20024281	0.234939759	0.714285714	0.949225473	2020-07-29
12	pmid32286091	2020.02.19.20025395	0.343949045	0.576923077	0.920872122	2020-07-29
13	pmid32556213	2020.05.10.20096925	0.231884058	0.656716418	0.888600476	2020-07-29
14	pmid32556213	2020.06.01.20118943	0.699300699	0.677966102	1.377266801	2020-07-29
15	pmid32562705	2020.03.18.997585	0.219653179	0.535714286	0.755367465	2020-07-29
16	pmid32562705	2020.04.23.058776	0.674846626	0.553571429	1.228418054	2020-07-29
17	pmid32425950	2020.02.18.20024364	0.683229814	0.876923077	1.560152891	2020-07-29
18	pmid32330277	2020.04.07.20056424	0.255639098	0.577142857	0.832781955	2020-07-29
19	pmid32570043	2020.05.01.20078360	0.902777778	0.892307692	1.79508547	2020-07-29
20	pmid32574322	2020.03.21.20038778	0.592039801	0.901639344	1.493679145	2020-07-29
21	pmid32574322	2020.04.11.20058891	0.228136882	0.712328767	0.940465649	2020-07-29
22	pmid32578156	2020.05.07.20093898	0.325	0.642857143	0.967857143	2020-07-29
23	pmid32578156	2020.05.07.20093989	0.323076923	0.642857143	0.965934066	2020-07-29
24	pmid32578156	2020.05.27.20114470	0.832167832	0.642857143	1.475024975	2020-07-29
25	pmid32578184	2020.04.08.20057661	0.33125	0.53125	0.8625	2020-07-29
26	pmid32353760	2020.05.12.092379	0.258426966	0.565217391	0.823644358	2020-07-29
27	pmid32481594	2020.05.04.20072447	0.741573034	0.541871921	1.283444955	2020-07-29
28	pmid32481594	2020.05.04.20091017	0.217213115	0.578817734	0.796030849	2020-07-29
29	pmid32481594	2020.05.05.20091058	0.333333333	0.568627451	0.901960784	2020-07-29
30	pmid32481594	2020.05.05.20091066	0.382488479	0.571428571	0.953917051	2020-07-29
31	pmid32609741	2020.04.09.20059758	0.945652174	0.5	1.445652174	2020-07-29
32	pmid32609741	2020.05.29.20114199	0.286764706	0.483333333	0.770098039	2020-07-29
33	pmid32628673	2020.02.18.20024570	0.239669421	0.553191489	0.792860911	2020-07-29
34	pmid32628673	2020.03.08.20032847	0.907894737	0.717948718	1.625843455	2020-07-29
35	pmid32249918	2020.03.10.20033605	0.982300885	0.863636364	1.845937249	2020-07-29
36	pmid32249918	2020.03.23.20040394	0.237288136	0.538461538	0.775749674	2020-07-29
37	pmid32325383	2020.02.19.20025395	0.666666667	0.606060606	1.272727273	2020-07-29
38	pmid32566561	2020.04.13.20064436	0.789115646	0.625	1.414115646	2020-07-29
39	pmid32566562	2020.04.17.20064444	0.957446809	0.612244898	1.569691706	2020-07-29
40	pmid32568770	2020.05.02.20080036	0.20855615	0.529411765	0.737967914	2020-07-29
41	pmid32568770	2020.05.07.20094797	1	0.911111111	1.911111111	2020-07-29
42	pmid32571894	2020.05.14.097311	0.953125	0.605263158	1.558388158	2020-07-29
