	pmid	journal	journalAbbr
0	32584972	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
1	32637423	Frontiers in medicine	Front Med (Lausanne)
2	32369217	Journal of medical virology	J Med Virol
3	32582739	Frontiers in medicine	Front Med (Lausanne)
4	32296837	The Journal of infectious diseases	J Infect Dis
5	32428031	PloS one	PLoS One
6	32392262	PloS one	PLoS One
7	32416600	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
8	32426363	Frontiers in medicine	Front Med (Lausanne)
9	32401343	Journal of medical virology	J Med Virol
10	32444412	The European respiratory journal	Eur Respir J
11	32566558	Annals of translational medicine	Ann Transl Med
12	32320478	Clinical pharmacology and therapeutics	Clin Pharmacol Ther
13	32283450	Psychiatry research	Psychiatry Res
14	32367739	Computer methods in biomechanics and biomedical engineering	Comput Methods Biomech Biomed Engin
15	32004758	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	Infect Genet Evol
16	32397286	Biology	Biology (Basel)
17	32314976	Journal of medical Internet research	J Med Internet Res
18	32359424	Cell	Cell
19	32460829	Breast cancer research : BCR	Breast Cancer Res
20	32427279	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
21	32444493	Neurology	Neurology
22	32644224	Journal of medical virology	J Med Virol
23	32512578	Nature	Nature
24	32437434	PloS one	PLoS One
25	32546245	BMC research notes	BMC Res Notes
26	32574328	Frontiers in medicine	Front Med (Lausanne)
27	32623081	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
28	32574335	Frontiers in medicine	Front Med (Lausanne)
29	32093043	Journal of clinical medicine	J Clin Med
30	32431288	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
31	32327245	The American journal of emergency medicine	Am J Emerg Med
32	32578943	Brain and behavior	Brain Behav
33	32438868	Emerging microbes & infections	Emerg Microbes Infect
34	32526759	ORL; journal for oto-rhino-laryngology and its related specialties	ORL J Otorhinolaryngol Relat Spec
35	32397847	Immunotherapy	Immunotherapy
36	32366817	Nature communications	Nat Commun
37	32360770	Mathematical biosciences	Math Biosci
38	32641296	Antimicrobial agents and chemotherapy	Antimicrob Agents Chemother
39	32079150	Journal of clinical medicine	J Clin Med
40	32409519	CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne	CMAJ
41	32587932	Infectious Disease Modelling	Infect Dis Model
42	32532983	NPJ systems biology and applications	NPJ Syst Biol Appl
43	32553059	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
44	32579268	Journal of medical virology	J Med Virol
45	32218151	Viruses	Viruses
46	32522207	Journal of translational medicine	J Transl Med
47	32190785	Infectious Disease Modelling	Infect Dis Model
48	32541745	British dental journal	Br Dent J
49	32589756	Journal of medical virology	J Med Virol
50	32343747	PloS one	PLoS One
51	32545925	Rhode Island medical journal (2013)	R I Med J (2013)
52	32568027	The Journal of general virology	J Gen Virol
53	32176808	Swiss medical weekly	Swiss Med Wkly
54	32615934	BMC medical research methodology	BMC Med Res Methodol
55	32368629	Heliyon	Heliyon
56	32388468	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	J Clin Virol
57	32416374	Environment international	Environ Int
58	32102279	Journal of clinical medicine	J Clin Med
59	32473312	Travel medicine and infectious disease	Travel Med Infect Dis
60	32524946	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill
61	32325386	Psychiatry research	Psychiatry Res
62	32430428	The European respiratory journal	Eur Respir J
63	32304108	Protein science : a publication of the Protein Society	Protein Sci
64	32361028	International journal of antimicrobial agents	Int J Antimicrob Agents
65	32609763	PloS one	PLoS One
66	32485871	Journal of clinical medicine	J Clin Med
67	32589145	JMIR public health and surveillance	JMIR Public Health Surveill
68	32377030	Journal of econometrics	J Econom
69	32576696	Proceedings of the National Academy of Sciences of the United States of America	Proc Natl Acad Sci U S A
70	32566556	Annals of translational medicine	Ann Transl Med
71	32536760	Chaos, solitons, and fractals	Chaos Solitons Fractals
72	32426062	Diabetes & metabolic syndrome	Diabetes Metab Syndr
73	32422233	Metabolism: clinical and experimental	Metabolism
74	32510598	Journal of cellular physiology	J Cell Physiol
75	32229732	American journal of nephrology	Am J Nephrol
76	32409561	BMJ (Clinical research ed.)	BMJ
77	32558639	Emerging infectious diseases	Emerg Infect Dis
78	32384159	Journal of travel medicine	J Travel Med
79	32539253	International braz j urol : official journal of the Brazilian Society of Urology	Int Braz J Urol
80	32591408	Science immunology	Sci Immunol
81	32302370	PloS one	PLoS One
82	32065055	Emerging microbes & infections	Emerg Microbes Infect
83	32482785	The European respiratory journal	Eur Respir J
84	32378705	Bioscience reports	Biosci Rep
85	32599282	International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases	Int J Infect Dis
86	32645951	International journal of molecular sciences	Int J Mol Sci
87	32277040	Science (New York, N.Y.)	Science
88	32503874	BMJ open	BMJ Open
89	32562541	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin Infect Dis
90	32437017	Journal of medical virology	J Med Virol
91	32591733	Eye (London, England)	Eye (Lond)
92	32509472	PeerJ	PeerJ
93	32292868	Infectious Disease Modelling	Infect Dis Model
94	32453411	Journal of travel medicine	J Travel Med
